product_id,category,date,price,competitor_price,discount_pct,markup_pct,quality_score,rating,ad_spend,stock_level,on_promotion,day_of_week,is_weekend,month,week_of_year,seasonality_factor,units_sold
P001,electronics,2023-01-01,537.930866748934,542.3325033658393,0.8116121732678283,63.063891749731354,0.7279041292200137,4.503154585441958,30.70819111482666,0.5825453457757226,0,6,1,1,1,1.0,112.6846925384491
P001,electronics,2023-01-02,529.8889227507499,551.3813120724467,3.8979176209136526,60.626123689492225,0.7314247332595274,3.9275927773436368,12.823256986612979,0.8711055768358081,0,0,0,1,1,1.0416735775467767,190.6719957212502
P001,electronics,2023-01-03,465.95176056752655,498.6159149371063,6.550965059689264,41.24474378088001,0.6399746149894088,4.484231946313992,62.13992233865765,0.47322294090686734,0,1,0,1,1,1.053909637352503,128.41277845217698
P001,electronics,2023-01-04,494.662595446232,580.0705358366728,14.723716361020031,49.94790762607855,0.5779156350028978,4.262659078501427,6.028251100962148,0.5109126733153162,1,2,0,1,1,1.029437137039366,149.7654061673433
P001,electronics,2023-01-05,480.37754354329707,510.3309228606731,5.869403160888559,45.617655727321726,0.5990914657134891,3.725011735938934,86.35002478124937,0.5685607058124285,0,3,0,1,1,0.9886261770644701,130.17245835417788
P001,electronics,2023-01-06,484.05454252773825,507.5757764530828,4.634033974140747,46.73227063682948,0.7611676288840867,4.509299856748785,95.43629345408665,0.44442679104045424,0,4,0,1,1,0.9641483242015259,106.66217336810003
P001,electronics,2023-01-07,490.00467647918094,507.98540990709,3.5396161144072367,48.535944786294664,0.6822267878729344,4.07688500739411,111.02060135490483,0.932327645545796,0,5,1,1,1,0.9763736804937138,211.73145520021788
P001,electronics,2023-01-08,489.00589415100234,506.69853037560955,3.491748083715952,48.23318221305182,0.8538036566465969,4.189252188267015,138.37618605220754,0.6565246110151297,0,6,1,1,2,1.0180312067349029,155.66685671913288
P001,electronics,2023-01-09,549.7025568662541,526.6964425069934,-4.3680026107173,66.63226404746374,0.7903532490625842,4.205700099318645,32.02678635458624,0.5372788992949735,0,0,0,1,2,1.0596833899403912,114.30625323142819
P001,electronics,2023-01-10,596.5096271982825,593.3715181366446,-0.5288607500899927,80.82097029492702,0.7328751109659684,4.041071938869888,72.62957300391683,0.7236053451493905,0,1,0,1,2,1.0718927187087335,134.40257425705187
P001,electronics,2023-01-11,570.903510525567,598.5198201033102,4.614101095762617,73.05894492076409,0.8273733620139556,4.112414198752314,1.5544216391469607,0.4719192204002097,0,2,0,1,2,1.0473881585830995,104.59181202571833
